IVA_COMPANY_RATING,COMPANY_NAME,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,IVA_INDUSTRY
BBB,Power Asset Holdings (PAH),6.6,4.8,4.5,Utilities
A,DIC,6.8,5.6,2.1,Specialty Chemicals
A,Otsuka,6.4,3.5,6.0,Software & Services
AA,Aristocrat,6.1,7.0,5.8,Casinos & Gaming
AA,Idemitsu Kosan,5.3,6.9,7.5,"Oil & Gas Refining, Marketing, Transportation & Storage"
BBB,Toyo Tire,6.0,3.9,4.7,Auto Components
BBB,Nippon Sheet Glass,4.3,4.6,6.5,Building Products
A,Dowa Holdings,4.4,5.3,5.4,Metals and Mining - Non-Precious Metals
B,Zensun Enterprises,2.7,4.6,0.6,Real Estate Development & Diversified Activities
CCC,Bajaj Electricals,3.4,3.9,3.2,Household Durables
A,BFL,8.3,1.9,5.7,Consumer Finance
BBB,Blue Star,4.6,5.6,6.8,Building Products
BB,Cosco Shipping International ,4.2,3.9,5.2,Trading Companies & Distributors
B,China Railway Group,4.1,2.8,2.3,Construction & Engineering
AAA,Lendlease,6.6,7.5,7.1,Real Estate Development & Diversified Activities
BB,Coromandel,3.1,5.2,5.6,Specialty Chemicals
BBB,Daito Trust Construction,4.0,6.4,5.6,Real Estate Development & Diversified Activities
AA,Bangchak Corporation,7.4,4.7,7.1,"Oil & Gas Refining, Marketing, Transportation & Storage"
CCC,Skyworth,2.2,4.1,2.7,Household Durables
A,Shanghai Electric,7.1,4.7,5.5,Electrical Equipment
A,Godrej Industries,3.5,5.5,5.6,Industrial Conglomerates
B,COSL,5.2,4.4,4.4,Energy Equipment & Services
A,Heiwa Real Estate,5.2,5.0,5.8,Real Estate Development & Diversified Activities
A,Kewpie,4.9,4.2,5.6,Food Products
BBB,Toyo Suisan,3.2,4.5,5.7,Food Products
BBB,IIJ,8.2,2.7,7.1,Telecommunication Services
AA,Sekisui Chemical,5.9,5.5,9.3,Real Estate Development & Diversified Activities
BB,Zeon,5.0,3.3,2.9,Commodity Chemicals
BB,GENP,3.6,2.9,5.6,Food Products
BBB,Gunze ,3.5,4.6,3.5,Industrial Conglomerates
A,Nisshinbo Holdings,5.0,4.2,6.1,Industrial Conglomerates
B,CNBM,2.1,3.6,2.3,Construction Materials
B,AVZ Minerals,2.0,4.8,1.1,Metals and Mining - Non-Precious Metals
A,Katakura,3.7,4.1,5.9,Industrial Conglomerates
AA,Pendal Group,8.7,6.6,5.7,Asset Management & Custody Banks
BBB,Nikke,3.7,4.1,5.6,Industrial Conglomerates
BBB,DTS,5.5,5.2,4.4,Software & Services
B,FUJIMI,3.1,4.6,0.0,Specialty Chemicals
AA,Sankyu,7.8,4.9,4.8,Road & Rail Transport
BB,K Line,5.7,5.4,4.2,Marine Transport
BBB,Kamigumi,5.5,4.2,6.8,Transportation Infrastructure
AAA,KDDI,10.0,5.8,8.1,Telecommunication Services
A,SAIBU GAS HOLDINGS,7.8,5.0,6.5,Utilities
AAA,Teijin,6.7,5.5,5.2,Commodity Chemicals
B,Axis REIT,3.9,6.6,1.2,Real Estate Management & Services
AA,Healius,7.4,7.4,5.9,Health Care Providers & Services
B,RInfra,4.5,3.4,4.5,Utilities
AA,Ramsay,8.0,7.3,5.5,Health Care Providers & Services
A,Ridley,3.3,7.1,4.5,Food Products
AAA,Sigma Healthcare,8.3,7.9,6.9,Health Care Providers & Services
BBB,Ramelius,2.1,7.6,4.3,Metals and Mining - Precious Metals
BB,Regis Resources,0.6,7.4,4.4,Metals and Mining - Precious Metals
A,Sandfire,2.6,7.7,5.4,Metals and Mining - Non-Precious Metals
CCC,Huaneng,2.8,3.0,3.9,Utilities
BBB,Sodick,5.1,4.1,6.3,Industrial Machinery
BB,Gemdale,4.1,4.6,2.3,Real Estate Development & Diversified Activities
AAA,"""Lenovo",5.0,6.3,6.3,"Technology Hardware, Storage & Peripherals"
AA,TechnologyOne,4.9,7.0,5.6,Software & Services
B,Pacific Current Group,7.0,7.7,1.7,Asset Management & Custody Banks
B,Bangkok Land,3.8,2.5,5.1,Real Estate Management & Services
BB,CKD,4.6,3.6,5.4,Industrial Machinery
A,Chiyoda,4.9,3.5,4.9,Construction & Engineering
A,Wesfarmers,7.3,7.0,3.7,Retail - Consumer Discretionary
AAA,Worley,9.6,6.7,8.8,Energy Equipment & Services
BB,Realtek,5.2,5.0,5.0,Semiconductors & Semiconductor Equipment
BBB,Amano,3.0,5.2,4.6,"Electronic Equipment, Instruments & Components"
BB,Chicony,2.2,4.3,4.1,"Technology Hardware, Storage & Peripherals"
BBB,CAO,5.3,4.8,4.1,"Oil & Gas Refining, Marketing, Transportation & Storage"
BB,NICHICON,5.3,1.7,4.9,"Electronic Equipment, Instruments & Components"
AAA,Cochlear,10.0,6.8,6.1,Health Care Equipment & Supplies
BB,CGV,5.7,3.8,5.5,Media & Entertainment
BB,ISM,3.9,1.8,6.0,Food Products
