IVA_COMPANY_RATING,COMPANY_NAME,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,IVA_INDUSTRY,WEIGHTED_AVERAGE_SCORE
BBB,Power Asset Holdings (PAH),6.6,4.8,4.5,Utilities,5.7
A,DIC,6.8,5.6,2.1,Specialty Chemicals,5.8
A,Otsuka,6.4,3.5,6.0,Software & Services,5.1
AA,Aristocrat,6.1,7.0,5.8,Casinos & Gaming,6.3
AA,Idemitsu Kosan,5.3,6.9,7.5,"Oil & Gas Refining, Marketing, Transportation & Storage",6.2
BBB,Toyo Tire,6.0,3.9,4.7,Auto Components,4.7
BBB,Nippon Sheet Glass,4.3,4.6,6.5,Building Products,5.0
A,Dowa Holdings,4.4,5.3,5.4,Metals and Mining - Non-Precious Metals,5.0
B,Zensun Enterprises,2.7,4.6,0.6,Real Estate Development & Diversified Activities,3.2
CCC,Bajaj Electricals,3.4,3.9,3.2,Household Durables,3.6
A,BFL,8.3,1.9,5.7,Consumer Finance,4.5
BBB,Blue Star,4.6,5.6,6.8,Building Products,5.5
BB,Cosco Shipping International ,4.2,3.9,5.2,Trading Companies & Distributors,4.5
B,China Railway Group,4.1,2.8,2.3,Construction & Engineering,2.9
AAA,Lendlease,6.6,7.5,7.1,Real Estate Development & Diversified Activities,7.1
BB,Coromandel,3.1,5.2,5.6,Specialty Chemicals,4.1
BBB,Daito Trust Construction,4.0,6.4,5.6,Real Estate Development & Diversified Activities,5.5
AA,Bangchak Corporation,7.4,4.7,7.1,"Oil & Gas Refining, Marketing, Transportation & Storage",6.3
CCC,Skyworth,2.2,4.1,2.7,Household Durables,3.2
A,Shanghai Electric,7.1,4.7,5.5,Electrical Equipment,5.8
A,Godrej Industries,3.5,5.5,5.6,Industrial Conglomerates,5.3
B,COSL,5.2,4.4,4.4,Energy Equipment & Services,4.7
A,Heiwa Real Estate,5.2,5.0,5.8,Real Estate Development & Diversified Activities,5.2
A,Kewpie,4.9,4.2,5.6,Food Products,4.9
BBB,Toyo Suisan,3.2,4.5,5.7,Food Products,4.3
